Date,Symbol,EntryPrice,Result15Before7,DecisionDay15Before7,Target18BeforeStop7,Target18DecisionDay,Target25BeforeStop7,Target25DecisionDay,Target30BeforeStop7,Target30DecisionDay,CloseReturn5D,CloseReturn10D,CloseReturn15D,CloseReturn20D,CloseReturn30D,RuleBasedReturn
2022-11-29,360ONE-EQ,466.26,STOPPED_OUT,19.0,STOPPED_OUT,19.0,STOPPED_OUT,19.0,STOPPED_OUT,19.0,-4.99935658216446,-2.6487367563162056,-4.0342298288508545,-5.443314888688711,-4.111439969115949,-7.0
2023-01-16,360ONE-EQ,457.84,STOPPED_OUT,9.0,STOPPED_OUT,9.0,STOPPED_OUT,9.0,STOPPED_OUT,9.0,6.484798182771279,-0.23152192905818714,0.46741219640049625,0.31452035645640475,-5.89288834527345,-7.0
2023-01-19,360ONE-EQ,485.03,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,-3.535863761004465,-2.107086159618987,-4.286332804156434,-6.535678205471829,-7.881986681236208,-7.0
2023-06-01,360ONE-EQ,419.9,SUCCESS,22.0,SUCCESS,26.0,TIMEOUT,,TIMEOUT,,0.4763038818766274,4.6558704453441235,7.859014050964519,8.371040723981915,20.504882114789247,15.0
2023-06-05,360ONE-EQ,421.55,SUCCESS,20.0,SUCCESS,24.0,SUCCESS,29.0,TIMEOUT,,-0.05930494603250125,4.613924801328428,7.2233424267583946,13.984106274463294,22.168188826948153,15.0
2023-06-13,360ONE-EQ,433.7,SUCCESS,20.0,SUCCESS,22.0,SUCCESS,24.0,TIMEOUT,,1.694719852432569,5.649066174775186,9.522711551763896,15.552225040350475,18.515102605487677,15.0
2023-06-20,360ONE-EQ,441.05,SUCCESS,17.0,SUCCESS,18.0,TIMEOUT,,TIMEOUT,,3.8884480217662443,7.697539961455613,13.626572950912585,17.877791633601614,14.080036277066089,15.0
2023-07-12,360ONE-EQ,501.15,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,3.7413947919784585,2.564102564102577,0.39908211114436654,1.1673151750972721,2.364561508530394,2.364561508530394
2023-09-08,360ONE-EQ,520.35,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,1.2107235514557502,0.46122801960217785,-3.7186509080426644,-1.3068127222062187,1.3452483905063817,1.3452483905063817
2023-09-11,360ONE-EQ,549.9,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,-6.310238225131826,-6.41025641025641,-10.001818512456806,-6.128386979450795,-5.182760501909433,-7.0
