Model,Features,Threshold,Folds,TotalTrades,AverageSuccessPct,AverageStopPct,AverageRuleBasedReturnPct,Average20DayReturnPct,QualityScore
Mix_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,80,2,9085,27.559,48.918,1.332,3.051,1.243
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,50,4,30089,25.893,46.197,1.333,2.038,1.242
Mix_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,PctAbove200EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9425,27.353,48.911,1.307,3.015,1.208
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,27681,26.02,46.509,1.3,2.06,1.205
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,55,4,27658,26.01,46.523,1.297,2.057,1.202
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,55,4,27221,25.925,46.733,1.286,1.955,1.18
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,30042,25.88,46.505,1.279,1.999,1.178
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,30042,25.88,46.505,1.279,1.999,1.178
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,55,4,28069,25.806,46.641,1.284,1.966,1.175
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,55,4,27513,25.943,46.718,1.269,2.02,1.165
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,50,4,31031,25.72,46.665,1.278,2.147,1.164
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,27302,25.921,46.817,1.267,1.987,1.159
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,27302,25.921,46.817,1.267,1.987,1.159
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,50,4,30083,25.827,46.599,1.262,1.961,1.156
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,65,4,20254,25.953,46.449,1.247,2.127,1.151
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,70,4,17244,25.648,46.518,1.241,2.394,1.128
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,70,4,17244,25.648,46.518,1.241,2.394,1.128
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,50,4,31080,25.631,46.86,1.231,2.026,1.107
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | MicroPct200EMA,55,4,26998,25.77,47.12,1.225,2.025,1.1
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,55,4,27273,25.754,47.085,1.224,1.999,1.099
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,55,4,27273,25.754,47.085,1.224,1.999,1.099
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA,70,4,17155,25.542,46.674,1.209,2.087,1.085
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | SmallPct200EMA,55,4,27601,25.513,47.305,1.191,1.873,1.047
Mix_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,80,2,13947,26.816,49.234,1.168,2.386,1.031
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,31327,25.397,47.207,1.168,2.012,1.021
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,50,4,30814,25.26,47.552,1.156,1.668,0.992
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,27660,25.361,47.613,1.133,1.638,0.972
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | SmallPct200EMA,50,4,30859,25.334,47.54,1.132,1.758,0.972
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,70,4,17508,25.279,47.65,1.13,1.753,0.965
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | SmallPct200EMA,55,4,27541,25.305,47.682,1.121,1.622,0.956
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | MicroPct200EMA,50,4,31160,25.359,47.697,1.111,1.939,0.948
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,27227,25.507,47.659,1.099,1.875,0.945
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,50,4,31309,25.309,47.808,1.114,1.995,0.945
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,60,4,23522,25.445,47.515,1.097,1.856,0.944
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,55,4,27334,25.54,47.771,1.086,1.851,0.93
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | SmallPct200EMA,50,4,31513,25.217,47.74,1.098,1.886,0.927
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,31147,25.478,47.807,1.084,1.787,0.924
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,50,4,31259,25.3,47.842,1.089,1.898,0.919
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,50,4,31259,25.3,47.842,1.089,1.898,0.919
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,30724,25.384,47.918,1.085,1.699,0.917
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | MicroPct200EMA,55,4,27619,25.232,47.853,1.09,1.566,0.916
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,55,4,27804,25.022,47.784,1.095,1.632,0.913
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,60,4,23358,25.406,48.008,1.079,1.872,0.909
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,50,4,31109,25.434,47.903,1.068,1.743,0.902
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,30944,25.227,48.005,1.08,1.639,0.901
