symbol,company_name,isin,as_of_date,close,median_turnover_50d_cr,ema20,ema50,ema200,close_vs_ema20_pct,close_vs_ema50_pct,close_vs_ema200_pct,trend_stack
NEULANDLAB,,,2026-09-15,22595.0,89.53,22925.29,21520.23,17682.72,-1.44,4.99,27.78,Close > EMA20 > EMA50 > EMA200
BLUESTONE,,,2026-09-15,828.55,89.08,834.28,771.8,623.08,-0.69,7.35,32.98,Close > EMA20 > EMA50 > EMA200
PNBHOUSING,,,2026-09-15,1145.0,81.9,1157.1,1125.86,1015.74,-1.05,1.7,12.73,Close > EMA20 > EMA50 > EMA200
PAISALO,,,2026-09-15,84.47,78.32,74.9,70.27,54.85,12.78,20.21,54.01,Close > EMA20 > EMA50 > EMA200
SAGILITY,,,2026-09-15,45.6,77.94,44.99,43.81,43.46,1.35,4.09,4.92,Close > EMA20 > EMA50 > EMA200
KTKBANK,,,2026-09-15,315.95,76.61,325.76,309.02,258.59,-3.01,2.24,22.18,Close > EMA20 > EMA50 > EMA200
CGCL,,,2026-09-15,255.1,76.05,256.84,243.38,211.21,-0.68,4.82,20.78,Close > EMA20 > EMA50 > EMA200
AVALON,,,2026-09-15,2160.7,71.36,2191.72,2010.89,1493.89,-1.42,7.45,44.64,Close > EMA20 > EMA50 > EMA200
BALRAMCHIN,,,2026-09-15,677.1,71.08,681.01,645.31,560.87,-0.57,4.93,20.72,Close > EMA20 > EMA50 > EMA200
JYOTICNC,,,2026-09-15,961.45,70.97,972.79,901.62,850.19,-1.17,6.64,13.09,Close > EMA20 > EMA50 > EMA200
CPPLUS,,,2026-09-15,3663.4,70.24,3672.9,3543.46,2693.72,-0.26,3.38,36.0,Close > EMA20 > EMA50 > EMA200
SANSERA,,,2026-09-15,3871.7,69.57,3900.84,3648.8,2775.64,-0.75,6.11,39.49,Close > EMA20 > EMA50 > EMA200
URBANCO,,,2026-09-15,158.22,68.71,163.76,152.3,140.69,-3.38,3.89,12.46,Close > EMA20 > EMA50 > EMA200
SKYGOLD,,,2026-09-15,789.4,68.15,791.62,726.97,532.83,-0.28,8.59,48.15,Close > EMA20 > EMA50 > EMA200
MOTILALOFS,,,2026-09-15,990.8,67.47,1003.61,962.9,885.11,-1.28,2.9,11.94,Close > EMA20 > EMA50 > EMA200
GRANULES,,,2026-09-15,872.6,66.17,864.26,844.86,729.01,0.97,3.28,19.7,Close > EMA20 > EMA50 > EMA200
IOLCP,,,2026-09-15,179.52,65.46,189.17,171.28,127.52,-5.1,4.81,40.77,Close > EMA20 > EMA50 > EMA200
SHILPAMED,,,2026-09-15,911.9,63.63,895.82,788.49,560.4,1.8,15.65,62.72,Close > EMA20 > EMA50 > EMA200
RKFORGE,,,2026-09-15,688.2,63.08,715.0,682.94,614.07,-3.75,0.77,12.07,Close > EMA20 > EMA50 > EMA200
ANTHEM,,,2026-09-15,942.85,62.32,916.3,867.45,777.31,2.9,8.69,21.3,Close > EMA20 > EMA50 > EMA200
LGEINDIA,,,2026-09-15,1629.6,57.88,1645.2,1615.04,1581.7,-0.95,0.9,3.03,Close > EMA20 > EMA50 > EMA200
PIRAMALFIN,,,2026-09-15,2224.4,57.83,2220.9,2155.84,1912.19,0.16,3.18,16.33,Close > EMA20 > EMA50 > EMA200
